1509154126,신종약팔이,100
1509154126,구구,뱅 하스스톤중
1509154126,segno1025,기-도
1509154127,a18b3,페이커 라이즈 해야되나'
1509154127,좌현우동준,100
1509154127,asen12111,100
1509154127,fortheg,기도 매타
1509154127,bookaeim,힘을줘
1509154127,yoohoobaba,기도메타?ㅋㅋㅋㅋㅋ
1509154127,송아노,뱅 : 버스 여기서 내려주세요
1509154127,IDOL_RAPPER_PRESIDENT_TOP,오바하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154127,h1475369,자냐?
1509154127,chee_mac,기도메타
1509154127,연치과원장,폼잡고 자빠졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154127,ghdlffpt10,피넛나왓다 ㅈㅈ
1509154127,blue9020,뱅 은퇴해라
1509154127,itx187,이미지트레이닝
1509154127,afaffafa,뱅 이미지 트레이닝중ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154127,minsol0721,이미지트레이닝하네
1509154128,slateblack,갓미지 트레이닝중
1509154128,yss6215,킹미지 갓레이닝중
1509154128,고래수제비,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154128,로제르,100 이미지 트레이닝중
1509154129,쿠로리,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154129,stylemiss,뱅(100)인분
1509154129,pyzinc,욕 덜먹길 기도해라
1509154129,트름택,하스하네
1509154129,주줍고싶어,올해만 해먹게 해주세요 BibleThump BibleThump
1509154129,dogyuseven,뱅 졸렵냐
1509154129,Cucudas,뱅은 연봉만 최소10억 넘고 롤망해도 평생 놀고 먹고 살수있는데 니인생은..? 앰창이쥬? ㅋㅋㅋ
1509154129,renoak,강팀준 벌써 우지로 갈아타는 느낌나느데
1509154129,대보초,멘탈 안좋아보인다 ㅋㅋ
1509154130,세류아,벵기를 부르는 것
1509154130,저항세력,뱅 멘탈 터짐 ㅅㄱ
1509340981,공진,후까시 잡네
1509154130,eXDee99999999,BlessRNG BlessRNG BlessRNG
1509154130,개목걸이,뱅 멘붕
1509154130,sirumsirum,이게 하스스톤인가 그거냐?
1509154130,창아나,허세좀 부리지마라 진짜 100인분 저
1509154130,크유,라이즈가 주도하는 질서
1509154131,암드가최고다,임프나 피글렛은 베인 나오던 시대에 나온거고... 우지쪽이 임팩트가 더강한거같다
1509154131,무슨일인데,뱅 그래 기도 좀 해아
1509154131,gh0st0210,운타라 어디감?
1509154131,엔쵸비,기도 메타
1509154131,랜서가산다,글 리젠 속도보소...
1509154131,끼갈,이미지 트레이닝
1509154132,너구리찡,기도메타
1509154132,겉져리,뱅진짜 방출해라
1509154132,루이코스타,뱅.. 이즈하자
1509154132,뭐요뭐가요,100 100 100 100
1509154132,kimsohyeshire,응원응원
1509154132,exelpavv,잘하자..
1509154132,마하반야바라밀다심경,이미지트레이닝ㅋㅋ
1509154132,헨타이로봇,백인분 압박감 오지져?
1509154132,ツ멍트페,뱅 화이팅..!
1509154133,수면수면,원딜차이 너무 난다니깐...
1509154133,pmgdd,이미지 트레이닝 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154133,우왕짱황제킹버풀,분위기 망했네
1509154133,jejoji24,뱅 화이팅
1509154133,dealzonmealz,그래도 뱅 응원하자 욕나오지만....
1509154133,kiossf,왕호 원딜 잘하던데 원딜 가라
1509154133,sang5052003,ㅋㅋ\
1509154133,ttk0460,느그혁
1509154133,하지마새요,Skt는 질수밖에
1509154134,현랑,분위기 안 좋다 ;;
1509154134,longzhudie,개빡
1509154134,세일러카레,뱅 진짜 어쩌냐 ㅋㅋ
1509154134,벙신을보면짖는댕댕이,3선승임?
1509154135,yo7197,피넛 화이팅 피넛 화이팅 피넛 화이팅피넛 화이팅 피넛 화이팅 피넛 화이팅 피넛 화이팅 피넛 화이팅
1509154135,안녕하세요이유님,뱅인분 또 천판해서 이미지트레이닝함?
1509154135,mathematicianYo,VoHiYo Bang VoHiYo
1509154136,카멜,mlxg가 피넛 상위호환인데...
1509154136,금성무,솔직히 탑은 저번년도 듀크가 제일 믿음직 했음
1509154137,Xaetman,딱딱준
1509154137,js0704,뱅 개독이엇네 ;;
1509154137,renesse777,딱딱
1509154137,Won10101,뱅님 화이팅!!
1509154137,aabb10,운타라안옴
1509154138,플레라스,자본~~~~주의~~~~~
1509154138,rbgusdlza,"피넛, 100 vs 페이커"
1509154138,diabloage,똥이던 어쨌던 뱅이 잘해야 이긴다..
1509154138,ikjun0120,기도하겠지 내년시즌 연장계약하게 해주세요 ㅠ ㅠ
1509154139,kzb0823,뱅 프레이메타
1509154139,팥빵미인,댓글보니 뱅도 참 딱하네
1509154139,rldidn,뱅붕 ㅋㅋㅋㅋ
1509154139,luppinich,뱅기도메타
1509154139,댕댕이1,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154140,inguk1031,제발 결승 가자
1509154140,사나연갓,기이이이이이이이이이이이이이이이이이이이도
1509154140,행정부,페이커는 항상 포커페이스네
1509154140,브라데0759,페이커 뒷골땡김
1509154141,pump15,페이커 1대100 한번 나가야되는거 아니냐?
1509154141,한만두,대 인 분
1509154141,이런이런,아 진짜 이겨야되는데 피넛이냐 걱정되게
1509154141,nomad90009,뱅 컨셉질
1509154141,짭츄,페르가즘 ㅋㅋ
1509154141,narangddd2,딱딱준
1509154141,건설로봇30003호,우리혁님 제발 이겨주세요
1509154141,지구사람,하스충들 저걸 기도메타라고 하고 있네
1509154141,마법소녀세츠나,아 빡친다
1509154142,zotmunga,페이커 빡쳣네ㅋㅋㅋ
1509154142,루비링,휴.
1509154143,도리카무,별 세개 ㄷㄷ
1509154143,Elki0248,일십뱅천만
1509154143,oarseller2,트타로 베인한테 질수가 있나?
1509154143,꽈직,빛상혁 힘내라
1509154143,푸쉬푸쉬,예언 하나함.
1509154143,su4316,버스기사 폭행합니다. 다들 내려주세요
1509154144,Lylnut,꺼져라좀
